 iteration      100/  200000 | consumed samples:         3200 | elapsed time per iteration (ms): 303.6 | learning rate: 4.444E-05 | global batch size:    32 | lm loss: 9.706122E-02 | loss scale: 2097152.0 | grad norm: 0.024 | number of skipped iterations:  12 | number of nan iterations:   0 |
 iteration      200/  200000 | consumed samples:         6400 | elapsed time per iteration (ms): 264.3 | learning rate: 9.495E-05 | global batch size:    32 | lm loss: 2.122366E-03 | loss scale: 2097152.0 | grad norm: 0.021 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      300/  200000 | consumed samples:         9600 | elapsed time per iteration (ms): 261.4 | learning rate: 9.992E-05 | global batch size:    32 | lm loss: 1.275565E-03 | loss scale: 2097152.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      400/  200000 | consumed samples:        12800 | elapsed time per iteration (ms): 262.2 | learning rate: 9.983E-05 | global batch size:    32 | lm loss: 1.008312E-03 | loss scale: 2097152.0 | grad norm: 0.009 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      500/  200000 | consumed samples:        16000 | elapsed time per iteration (ms): 259.3 | learning rate: 9.974E-05 | global batch size:    32 | lm loss: 9.232771E-04 | loss scale: 2097152.0 | grad norm: 0.008 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      600/  200000 | consumed samples:        19200 | elapsed time per iteration (ms): 266.6 | learning rate: 9.964E-05 | global batch size:    32 | lm loss: 6.531002E-04 | loss scale: 2097152.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      700/  200000 | consumed samples:        22400 | elapsed time per iteration (ms): 253.1 | learning rate: 9.955E-05 | global batch size:    32 | lm loss: 6.531756E-04 | loss scale: 2097152.0 | grad norm: 0.005 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      800/  200000 | consumed samples:        25600 | elapsed time per iteration (ms): 253.3 | learning rate: 9.946E-05 | global batch size:    32 | lm loss: 6.483161E-04 | loss scale: 2097152.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      900/  200000 | consumed samples:        28800 | elapsed time per iteration (ms): 256.7 | learning rate: 9.937E-05 | global batch size:    32 | lm loss: 6.528109E-04 | loss scale: 2097152.0 | grad norm: 0.004 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1000/  200000 | consumed samples:        32000 | elapsed time per iteration (ms): 254.2 | learning rate: 9.928E-05 | global batch size:    32 | lm loss: 6.433538E-04 | loss scale: 2097152.0 | grad norm: 0.005 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1100/  200000 | consumed samples:        35200 | elapsed time per iteration (ms): 266.7 | learning rate: 9.919E-05 | global batch size:    32 | lm loss: 6.440675E-04 | loss scale: 4194304.0 | grad norm: 0.007 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1200/  200000 | consumed samples:        38400 | elapsed time per iteration (ms): 254.1 | learning rate: 9.910E-05 | global batch size:    32 | lm loss: 6.573156E-04 | loss scale: 4194304.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1300/  200000 | consumed samples:        41600 | elapsed time per iteration (ms): 254.4 | learning rate: 9.901E-05 | global batch size:    32 | lm loss: 6.447437E-04 | loss scale: 4194304.0 | grad norm: 0.008 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1400/  200000 | consumed samples:        44800 | elapsed time per iteration (ms): 253.7 | learning rate: 9.892E-05 | global batch size:    32 | lm loss: 6.527977E-04 | loss scale: 4194304.0 | grad norm: 0.019 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1500/  200000 | consumed samples:        48000 | elapsed time per iteration (ms): 254.7 | learning rate: 9.882E-05 | global batch size:    32 | lm loss: 6.486205E-04 | loss scale: 4194304.0 | grad norm: 0.011 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1600/  200000 | consumed samples:        51200 | elapsed time per iteration (ms): 264.6 | learning rate: 9.873E-05 | global batch size:    32 | lm loss: 6.633323E-04 | loss scale: 4194304.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1700/  200000 | consumed samples:        54400 | elapsed time per iteration (ms): 258.4 | learning rate: 9.864E-05 | global batch size:    32 | lm loss: 6.533711E-04 | loss scale: 4194304.0 | grad norm: 0.011 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1800/  200000 | consumed samples:        57600 | elapsed time per iteration (ms): 253.8 | learning rate: 9.855E-05 | global batch size:    32 | lm loss: 6.604908E-04 | loss scale: 4194304.0 | grad norm: 0.015 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1900/  200000 | consumed samples:        60800 | elapsed time per iteration (ms): 259.0 | learning rate: 9.846E-05 | global batch size:    32 | lm loss: 6.657952E-04 | loss scale: 4194304.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2000/  200000 | consumed samples:        64000 | elapsed time per iteration (ms): 260.7 | learning rate: 9.837E-05 | global batch size:    32 | lm loss: 6.632921E-04 | loss scale: 4194304.0 | grad norm: 0.009 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2100/  200000 | consumed samples:        67200 | elapsed time per iteration (ms): 274.5 | learning rate: 9.828E-05 | global batch size:    32 | lm loss: 6.739845E-04 | loss scale: 8388608.0 | grad norm: 0.016 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2200/  200000 | consumed samples:        70400 | elapsed time per iteration (ms): 258.3 | learning rate: 9.819E-05 | global batch size:    32 | lm loss: 6.662659E-04 | loss scale: 8388608.0 | grad norm: 0.014 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2300/  200000 | consumed samples:        73600 | elapsed time per iteration (ms): 257.1 | learning rate: 9.810E-05 | global batch size:    32 | lm loss: 6.718781E-04 | loss scale: 8388608.0 | grad norm: 0.011 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2400/  200000 | consumed samples:        76800 | elapsed time per iteration (ms): 259.0 | learning rate: 9.801E-05 | global batch size:    32 | lm loss: 6.627337E-04 | loss scale: 8388608.0 | grad norm: 0.022 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2500/  200000 | consumed samples:        80000 | elapsed time per iteration (ms): 256.1 | learning rate: 9.791E-05 | global batch size:    32 | lm loss: 6.646355E-04 | loss scale: 8388608.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2600/  200000 | consumed samples:        83200 | elapsed time per iteration (ms): 269.5 | learning rate: 9.782E-05 | global batch size:    32 | lm loss: 6.516803E-04 | loss scale: 8388608.0 | grad norm: 0.020 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2700/  200000 | consumed samples:        86400 | elapsed time per iteration (ms): 261.2 | learning rate: 9.773E-05 | global batch size:    32 | lm loss: 6.710421E-04 | loss scale: 8388608.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2800/  200000 | consumed samples:        89600 | elapsed time per iteration (ms): 255.9 | learning rate: 9.764E-05 | global batch size:    32 | lm loss: 6.740583E-04 | loss scale: 8388608.0 | grad norm: 0.011 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     2900/  200000 | consumed samples:        92800 | elapsed time per iteration (ms): 257.4 | learning rate: 9.755E-05 | global batch size:    32 | lm loss: 6.590704E-04 | loss scale: 8388608.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3000/  200000 | consumed samples:        96000 | elapsed time per iteration (ms): 257.4 | learning rate: 9.746E-05 | global batch size:    32 | lm loss: 6.700991E-04 | loss scale: 8388608.0 | grad norm: 0.020 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3100/  200000 | consumed samples:        99200 | elapsed time per iteration (ms): 274.1 | learning rate: 9.737E-05 | global batch size:    32 | lm loss: 6.570277E-04 | loss scale: 16777216.0 | grad norm: 0.023 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3200/  200000 | consumed samples:       102400 | elapsed time per iteration (ms): 257.9 | learning rate: 9.728E-05 | global batch size:    32 | lm loss: 6.794741E-04 | loss scale: 16777216.0 | grad norm: 0.013 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3300/  200000 | consumed samples:       105600 | elapsed time per iteration (ms): 259.1 | learning rate: 9.719E-05 | global batch size:    32 | lm loss: 6.458659E-04 | loss scale: 16777216.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3400/  200000 | consumed samples:       108800 | elapsed time per iteration (ms): 257.4 | learning rate: 9.709E-05 | global batch size:    32 | lm loss: 6.754433E-04 | loss scale: 16777216.0 | grad norm: 0.014 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3500/  200000 | consumed samples:       112000 | elapsed time per iteration (ms): 257.8 | learning rate: 9.700E-05 | global batch size:    32 | lm loss: 6.659480E-04 | loss scale: 16777216.0 | grad norm: 0.011 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3600/  200000 | consumed samples:       115200 | elapsed time per iteration (ms): 273.4 | learning rate: 9.691E-05 | global batch size:    32 | lm loss: 6.666736E-04 | loss scale: 16777216.0 | grad norm: 0.010 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3700/  200000 | consumed samples:       118400 | elapsed time per iteration (ms): 256.9 | learning rate: 9.682E-05 | global batch size:    32 | lm loss: 6.585941E-04 | loss scale: 16777216.0 | grad norm: 0.017 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3800/  200000 | consumed samples:       121600 | elapsed time per iteration (ms): 263.0 | learning rate: 9.673E-05 | global batch size:    32 | lm loss: 6.816215E-04 | loss scale: 16777216.0 | grad norm: 0.015 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     3900/  200000 | consumed samples:       124800 | elapsed time per iteration (ms): 257.3 | learning rate: 9.664E-05 | global batch size:    32 | lm loss: 6.839024E-04 | loss scale: 16777216.0 | grad norm: 0.010 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4000/  200000 | consumed samples:       128000 | elapsed time per iteration (ms): 252.9 | learning rate: 9.655E-05 | global batch size:    32 | lm loss: 6.417631E-04 | loss scale: 16777216.0 | grad norm: 0.022 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     4100/  200000 | consumed samples:       131200 | elapsed time per iteration (ms): 270.4 | learning rate: 9.646E-05 | global batch size:    32 | lm loss: 6.542465E-04 | loss scale: 33554432.0 | grad norm: 0.012 | number of skipped iterations:   0 | number of nan iterations:   0 |
