 iteration      100/  200000 | consumed samples:         3200 | elapsed time per iteration (ms): 471.2 | learning rate: 4.495E-05 | global batch size:    32 | lm loss: 1.785777E-02 | loss scale: 4194304.0 | grad norm: 0.008 | number of skipped iterations:  11 | number of nan iterations:   0 |
 iteration      200/  200000 | consumed samples:         6400 | elapsed time per iteration (ms): 369.0 | learning rate: 9.545E-05 | global batch size:    32 | lm loss: 4.986697E-04 | loss scale: 4194304.0 | grad norm: 0.003 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      300/  200000 | consumed samples:         9600 | elapsed time per iteration (ms): 408.2 | learning rate: 9.992E-05 | global batch size:    32 | lm loss: 3.318047E-04 | loss scale: 4194304.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      400/  200000 | consumed samples:        12800 | elapsed time per iteration (ms): 359.4 | learning rate: 9.983E-05 | global batch size:    32 | lm loss: 2.470932E-04 | loss scale: 4194304.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      500/  200000 | consumed samples:        16000 | elapsed time per iteration (ms): 413.0 | learning rate: 9.973E-05 | global batch size:    32 | lm loss: 2.209480E-04 | loss scale: 4194304.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      600/  200000 | consumed samples:        19200 | elapsed time per iteration (ms): 381.9 | learning rate: 9.964E-05 | global batch size:    32 | lm loss: 1.506734E-04 | loss scale: 4194304.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      700/  200000 | consumed samples:        22400 | elapsed time per iteration (ms): 361.6 | learning rate: 9.955E-05 | global batch size:    32 | lm loss: 1.534848E-04 | loss scale: 4194304.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      800/  200000 | consumed samples:        25600 | elapsed time per iteration (ms): 372.3 | learning rate: 9.946E-05 | global batch size:    32 | lm loss: 1.571744E-04 | loss scale: 4194304.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration      900/  200000 | consumed samples:        28800 | elapsed time per iteration (ms): 356.2 | learning rate: 9.937E-05 | global batch size:    32 | lm loss: 1.580432E-04 | loss scale: 4194304.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1000/  200000 | consumed samples:        32000 | elapsed time per iteration (ms): 371.8 | learning rate: 9.928E-05 | global batch size:    32 | lm loss: 1.477497E-04 | loss scale: 4194304.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1100/  200000 | consumed samples:        35200 | elapsed time per iteration (ms): 359.3 | learning rate: 9.919E-05 | global batch size:    32 | lm loss: 1.497969E-04 | loss scale: 8388608.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1200/  200000 | consumed samples:        38400 | elapsed time per iteration (ms): 348.6 | learning rate: 9.910E-05 | global batch size:    32 | lm loss: 1.489092E-04 | loss scale: 8388608.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1300/  200000 | consumed samples:        41600 | elapsed time per iteration (ms): 346.5 | learning rate: 9.901E-05 | global batch size:    32 | lm loss: 1.397486E-04 | loss scale: 8388608.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1400/  200000 | consumed samples:        44800 | elapsed time per iteration (ms): 350.4 | learning rate: 9.892E-05 | global batch size:    32 | lm loss: 1.433333E-04 | loss scale: 8388608.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1500/  200000 | consumed samples:        48000 | elapsed time per iteration (ms): 350.2 | learning rate: 9.882E-05 | global batch size:    32 | lm loss: 1.435907E-04 | loss scale: 8388608.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1600/  200000 | consumed samples:        51200 | elapsed time per iteration (ms): 369.1 | learning rate: 9.873E-05 | global batch size:    32 | lm loss: 1.467992E-04 | loss scale: 8388608.0 | grad norm: 0.001 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration     1700/  200000 | consumed samples:        54400 | elapsed time per iteration (ms): 359.5 | learning rate: 9.864E-05 | global batch size:    32 | lm loss: 1.527669E-04 | loss scale: 8388608.0 | grad norm: 0.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
